Batch ID,Production Line,Units Produced,Electricity (kWh),Fuel (L),Raw Material Transportation (kg),Product Transportation (kg),Waste (kg),Packaging (kg),Electricity CO2 (kg),Fuel CO2 (kg),Raw Material Transport CO2 (kg),Product Transport CO2 (kg),Waste CO2 (kg),Packaging CO2 (kg),Total CO2 (kg),Projected Electricity CO2 (kg),Projected Fuel CO2 (kg),Projected Waste CO2 (kg),Projected Product Transport CO2 (kg),Projected Total CO2 (kg)
B0001,Line C,742,498.92,67.43,34.59,38.23,11.59,39.73,224.51,180.71,6.23,6.12,12.75,13.91,444.22,190.84,162.64,10.2,5.51,389.33
B0002,Line A,3090,1761.58,423.5,243.38,375.22,38.52,155.02,792.71,1134.98,43.81,60.04,42.37,54.26,2128.16,673.8,1021.48,33.9,54.03,1881.28
B0003,Line C,1563,574.19,214.12,100.33,193.15,35.75,44.81,258.39,573.84,18.06,30.9,39.33,15.68,936.2,219.63,516.46,31.46,27.81,829.1
B0004,Line C,4824,2910.13,430.5,410.39,665.0,80.96,224.43,1309.56,1153.74,73.87,106.4,89.06,78.55,2811.18,1113.12,1038.37,71.24,95.76,2470.91
B0005,Line A,3095,2261.09,398.74,322.82,472.31,71.19,123.94,1017.49,1068.62,58.11,75.57,78.31,43.38,2341.48,864.87,961.76,62.65,68.01,2058.78
B0006,Line A,1419,838.12,135.57,72.33,74.09,41.51,72.81,377.15,363.33,13.02,11.85,45.66,25.48,836.5,320.58,326.99,36.53,10.67,733.27
B0007,Line C,505,342.23,97.54,43.66,33.79,28.86,27.85,154.0,261.41,7.86,5.41,31.75,9.75,470.17,130.9,235.27,25.4,4.87,414.05
B0008,Line B,967,680.46,205.66,77.79,142.61,39.18,19.83,306.21,551.17,14.0,22.82,43.1,6.94,944.23,260.28,496.05,34.48,20.54,832.29
B0009,Line C,4670,2060.55,420.88,240.63,469.04,241.67,306.63,927.25,1127.96,43.31,75.05,265.84,107.32,2546.72,788.16,1015.16,212.67,67.54,2234.16
B0010,Line C,503,218.71,107.5,45.23,56.39,22.9,31.58,98.42,288.1,8.14,9.02,25.19,11.05,439.93,83.66,259.29,20.15,8.12,390.41
B0011,Line C,1145,680.58,175.37,70.87,140.76,17.89,48.06,306.26,469.99,12.76,22.52,19.68,16.82,848.03,260.32,422.99,15.74,20.27,748.9
B0012,Line C,617,317.39,75.24,48.76,76.94,28.87,14.3,142.83,201.64,8.78,12.31,31.76,5.0,402.32,121.4,181.48,25.41,11.08,353.15
B0013,Line A,3428,2351.42,311.13,159.68,522.74,81.43,223.83,1058.14,833.83,28.74,83.64,89.57,78.34,2172.26,899.42,750.45,71.66,75.27,1903.88
B0014,Line C,3051,2166.24,457.92,234.22,487.14,128.01,235.87,974.81,1227.23,42.16,77.94,140.81,82.55,2545.5,828.59,1104.5,112.65,70.15,2240.6
B0015,Line B,4789,2353.16,915.81,308.97,618.82,129.53,164.79,1058.92,2454.37,55.61,99.01,142.48,57.68,3868.08,900.08,2208.93,113.99,89.11,3425.4
B0016,Line A,1346,598.63,240.92,142.39,109.83,80.6,53.05,269.38,645.67,25.63,17.57,88.66,18.57,1065.48,228.98,581.1,70.93,15.82,941.03
B0017,Line B,3262,2160.13,283.9,145.35,478.77,75.61,101.22,972.06,760.85,26.16,76.6,83.17,35.43,1954.27,826.25,684.77,66.54,68.94,1708.09
B0018,Line B,1641,754.73,148.03,120.59,90.93,39.31,89.63,339.63,396.72,21.71,14.55,43.24,31.37,847.22,288.68,357.05,34.59,13.09,746.49
B0019,Line B,2310,1568.6,315.09,177.12,174.22,130.59,67.66,705.87,844.44,31.88,27.88,143.65,23.68,1777.4,599.99,760.0,114.92,25.09,1555.56
B0020,Line B,1223,635.34,148.4,119.85,181.88,13.74,50.6,285.9,397.71,21.57,29.1,15.11,17.71,767.11,243.02,357.94,12.09,26.19,678.52
B0021,Line A,724,446.72,81.47,62.22,56.6,32.46,44.76,201.02,218.34,11.2,9.06,35.71,15.67,490.99,170.87,196.51,28.56,8.15,430.96
B0022,Line A,4708,1827.71,561.86,439.62,349.67,217.82,252.38,822.47,1505.78,79.13,55.95,239.6,88.33,2791.27,699.1,1355.21,191.68,50.35,2463.8
B0023,Line B,2548,1527.64,490.46,260.31,166.11,132.03,110.04,687.44,1314.43,46.86,26.58,145.23,38.51,2259.05,584.32,1182.99,116.19,23.92,1992.79
B0024,Line B,4915,2608.43,1032.6,535.62,710.23,288.62,222.23,1173.79,2767.37,96.41,113.64,317.48,77.78,4546.47,997.72,2490.63,253.99,102.27,4018.8
B0025,Line A,2073,1211.97,283.41,134.97,217.68,121.85,111.38,545.39,759.54,24.29,34.83,134.04,38.98,1537.07,463.58,683.58,107.23,31.35,1349.01
B0026,Line A,2328,971.25,481.56,193.32,289.23,30.88,47.38,437.06,1290.58,34.8,46.28,33.97,16.58,1859.27,371.5,1161.52,27.17,41.65,1653.22
B0027,Line A,2417,1558.36,302.15,259.12,184.41,123.49,59.73,701.26,809.76,46.64,29.51,135.84,20.91,1743.92,596.07,728.79,108.67,26.56,1527.64
